,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,United Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017166,Italy,,380,B,"41,366","101,180","177,319","283,941","387,417","584,694","717,199","783,274","754,827","669,423","509,671","350,091","213,313","124,886","81,642","127,218","5,907,461","21,374","52,887","93,229","151,513","204,171","282,398","339,725","368,756","345,598","300,019","217,355","134,328","73,410","40,064","26,802","40,270","2,691,899","19,992","48,293","84,090","132,428","183,246","302,296","377,474","414,518","409,229","369,404","292,316","215,763","139,903","84,822","54,840","86,948","3,215,562",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017167,Malta,,470,B,482,"1,233","1,098","1,538","3,546","5,657","5,434","4,862","4,739","4,197","3,207","2,413","1,874","1,952","1,469","1,838","45,539",280,608,560,913,"2,178","3,199","3,060","2,504","2,538","2,145","1,561","1,186",951,975,770,880,"24,308",202,625,538,625,"1,368","2,458","2,374","2,358","2,201","2,052","1,646","1,227",923,977,699,958,"21,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017168,Montenegro,,499,B,"1,112","1,689","1,877","2,512","4,453","6,354","6,914","6,821","6,285","5,676","5,237","5,069","4,925","4,492","2,982","4,586","70,984",570,879,974,"1,250","2,011","2,588","2,600","2,509","2,339","2,188","2,045","1,936","1,759","1,562","1,016","1,587","27,813",542,810,903,"1,262","2,442","3,766","4,314","4,312","3,946","3,488","3,192","3,133","3,166","2,930","1,966","2,999","43,171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017169,Portugal,,620,B,"7,282","12,521","19,452","36,322","63,702","77,555","85,401","98,709","118,276","110,162","77,914","56,469","41,626","28,714","19,206","26,877","880,188","3,964","6,191","9,293","17,925","32,439","38,883","38,724","44,172","54,101","52,182","35,053","26,318","19,273","12,707","8,995","10,435","410,655","3,318","6,330","10,159","18,397","31,263","38,672","46,677","54,537","64,175","57,980","42,861","30,151","22,353","16,007","10,211","16,442","469,533",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017170,San Marino,,674,C,162,170,189,261,410,563,666,700,650,530,375,232,123,72,50,90,"5,243",73,77,91,134,232,330,399,408,364,280,189,122,72,47,33,52,"2,903",89,93,98,127,178,233,267,292,286,250,186,110,51,25,17,38,"2,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017171,Serbia,19,688,B,"4,635","4,598","6,257","10,651","21,263","34,933","45,166","53,607","60,478","64,544","71,094","81,071","86,084","76,902","65,736","114,884","801,903","2,422","2,382","3,200","5,386","10,561","16,908","21,319","24,703","27,232","28,550","31,184","35,387","37,358","32,901","27,048","46,203","352,744","2,213","2,216","3,057","5,265","10,702","18,025","23,847","28,904","33,246","35,994","39,910","45,684","48,726","44,001","38,688","68,681","449,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017172,Slovenia,,705,B,"1,977","4,214","5,145","6,223","9,547","15,640","19,802","21,131","21,228","21,972","24,877","26,363","23,121","16,122","10,827","16,601","244,790","1,061","2,238","2,729","3,381","4,919","9,039","12,080","13,072","12,859","12,633","14,024","14,809","13,093","8,632","5,725","7,826","138,120",916,"1,976","2,416","2,842","4,628","6,601","7,722","8,059","8,369","9,339","10,853","11,554","10,028","7,490","5,102","8,775","106,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017173,Spain,20,724,B,"39,475","97,387","194,678","316,834","393,769","513,879","670,278","789,637","739,215","639,557","484,991","334,086","233,483","184,647","132,758","182,432","5,947,106","20,535","49,833","97,239","164,353","193,278","231,815","306,670","388,415","375,961","324,217","238,779","160,913","108,802","85,026","62,661","83,649","2,892,146","18,940","47,554","97,439","152,481","200,491","282,064","363,608","401,222","363,254","315,340","246,212","173,173","124,681","99,621","70,097","98,783","3,054,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017174,TFYR Macedonia,21,807,B,"5,869","5,410","4,983","4,178","4,488","4,973","6,137","7,158","8,060","9,153","10,474","11,546","12,355","12,640","11,775","11,773","130,972","3,009","2,771","2,548","2,109","2,153","2,190","2,466","2,742","3,084","3,563","4,141","4,601","4,932","5,030","4,646","4,612","54,597","2,860","2,639","2,435","2,069","2,335","2,783","3,671","4,416","4,976","5,590","6,333","6,945","7,423","7,610","7,129","7,161","76,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017175,Western Europe,,926,,"316,293","545,931","615,270","812,342","1,484,966","2,329,849","2,714,367","2,796,500","2,734,200","2,601,293","2,459,640","2,179,756","1,847,713","1,532,203","1,107,902","1,791,260","27,869,485","165,751","283,440","313,664","421,985","727,169","1,102,427","1,294,842","1,360,134","1,363,654","1,327,123","1,232,435","1,054,179","919,379","774,338","560,648","771,662","13,672,830","150,542","262,491","301,606","390,357","757,797","1,227,422","1,419,525","1,436,366","1,370,546","1,274,170","1,227,205","1,125,577","928,334","757,865","547,254","1,019,598","14,196,655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017176,Austria,,40,B,"19,032","18,080","34,344","41,520","60,495","121,051","177,154","187,196","173,891","160,945","154,672","137,103","110,058","90,012","72,359","102,371","1,660,283","9,984","9,350","17,748","21,828","30,082","59,486","86,521","90,228","80,788","80,163","79,355","66,948","51,356","41,564","32,659","39,022","797,082","9,048","8,730","16,596","19,692","30,413","61,565","90,633","96,968","93,103","80,782","75,317","70,155","58,702","48,448","39,700","63,349","863,201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017177,Belgium,,56,C,"75,886","67,688","57,519","56,024","78,960","118,392","137,052","130,355","116,739","101,702","83,820","66,762","53,499","41,980","31,773","50,260","1,268,411","37,989","34,244","28,815","28,856","36,687","55,922","68,702","67,771","62,038","54,991","45,517","36,162","28,492","21,981","15,404","20,518","644,089","37,897","33,444","28,704","27,168","42,273","62,470","68,350","62,584","54,701","46,711","38,303","30,600","25,007","19,999","16,369","29,742","624,322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017178,France,,250,B,"87,134","161,990","198,014","270,494","361,770","502,826","601,790","675,885","667,551","663,744","665,440","677,716","642,087","567,370","412,048","746,924","7,902,783","45,051","82,681","99,214","138,804","171,344","229,034","271,683","320,964","326,432","327,869","325,407","324,905","312,278","290,014","211,485","331,676","3,808,841","42,083","79,309","98,800","131,690","190,426","273,792","330,107","354,921","341,119","335,875","340,033","352,811","329,809","277,356","200,563","415,248","4,093,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017179,Germany,,276,B,"84,577","196,003","207,078","290,261","709,578","1,164,098","1,287,621","1,284,638","1,265,719","1,187,764","1,109,879","931,364","765,534","615,863","434,171","630,935","12,165,083","47,086","104,654","108,455","153,619","354,656","550,897","618,716","629,916","648,895","623,419","557,525","442,725","394,118","316,969","226,063","277,554","6,055,267","37,491","91,349","98,623","136,642","354,922","613,201","668,905","654,722","616,824","564,345","552,354","488,639","371,416","298,894","208,108","353,381","6,109,816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017180,Liechtenstein,,438,B,"1,226",884,870,883,979,"1,459","2,037","2,504","2,531","2,592","2,222","1,809","1,392","1,179",908,"1,208","24,683",642,456,435,440,487,744,"1,026","1,259","1,245","1,261","1,059",858,659,560,395,487,"12,013",584,428,435,443,492,715,"1,011","1,245","1,286","1,331","1,163",951,733,619,513,721,"12,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017181,Luxembourg,,442,B,"3,317","7,539","8,410","9,424","12,752","22,932","27,906","29,637","29,302","27,831","24,133","18,327","13,527","10,993","7,097","10,946","264,073","1,700","3,934","4,429","4,761","6,444","11,658","13,733","14,746","14,852","14,551","12,955","9,727","7,063","5,690","3,568","4,396","134,207","1,617","3,605","3,981","4,663","6,308","11,274","14,173","14,891","14,450","13,280","11,178","8,600","6,464","5,303","3,529","6,550","129,866",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017182,Monaco,,492,B,379,499,547,656,870,"1,023","1,048","1,160","1,414","1,676","1,782","1,766","1,742","1,728","1,617","3,348","21,255",185,245,272,334,449,520,516,559,686,828,895,891,870,850,770,"1,561","10,431",194,254,275,322,421,503,532,601,728,848,887,875,872,878,847,"1,787","10,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017183,Netherlands,,528,B,"24,120","44,101","48,402","70,018","134,846","185,562","208,723","203,774","215,107","208,385","185,392","150,927","117,120","97,668","63,440","98,935","2,056,520","12,577","22,875","23,817","35,572","64,632","89,177","100,090","95,321","100,179","101,789","91,265","71,931","54,174","47,039","31,396","41,752","983,586","11,543","21,226","24,585","34,446","70,214","96,385","108,633","108,453","114,928","106,596","94,127","78,996","62,946","50,629","32,044","57,183","1,072,934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017184,Switzerland,,756,B,"20,622","49,147","60,086","73,062","124,716","212,506","271,036","281,351","261,946","246,654","232,300","193,982","142,754","105,410","84,489","146,333","2,506,394","10,537","25,001","30,479","37,771","62,388","104,989","133,855","139,370","128,539","122,252","118,457","100,032","70,369","49,671","38,908","54,696","1,227,314","10,085","24,146","29,607","35,291","62,328","107,517","137,181","141,981","133,407","124,402","113,843","93,950","72,385","55,739","45,581","91,637","1,279,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017185,LATIN AMERICA AND THE CARIBBEAN,,904,,"563,196","564,782","530,589","544,354","681,187","841,317","896,314","844,687","760,216","671,800","573,716","480,986","434,471","352,580","278,345","489,649","9,508,189","288,553","288,306","267,839","268,309","332,217","408,423","441,391","418,753","379,056","338,205","288,968","242,885","216,243","179,763","140,098","219,972","4,718,981","274,643","276,476","262,750","276,045","348,970","432,894","454,923","425,934","381,160","333,595","284,748","238,101","218,228","172,817","138,247","269,677","4,789,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017186,Caribbean,,915,,"50,508","55,866","63,371","81,207","121,882","157,051","156,204","140,069","123,973","109,417","92,676","74,068","59,222","43,170","29,697","41,366","1,399,747","25,992","28,454","31,711","41,589","64,537","83,804","82,973","71,953","62,466","54,129","45,890","36,500","30,328","22,480","15,548","20,194","718,548","24,516","27,412","31,660","39,618","57,345","73,247","73,231","68,116","61,507","55,288","46,786","37,568","28,894","20,690","14,149","21,172","681,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017187,Anguilla,,660,B,404,353,310,302,351,423,480,503,501,482,423,334,245,176,129,163,"5,579",188,164,144,144,171,205,227,239,251,253,216,159,109,69,50,57,"2,646",216,189,166,158,180,218,253,264,250,229,207,175,136,107,79,106,"2,933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017188,Antigua and Barbuda,,28,B,920,876,911,"1,060","1,510","2,219","2,724","2,907","2,808","2,730","2,668","2,390","1,845","1,214",791,"1,073","28,646",469,447,464,542,680,976,"1,142","1,205","1,167","1,164","1,177","1,089",864,576,372,449,"12,783",451,429,447,518,830,"1,243","1,582","1,702","1,641","1,566","1,491","1,301",981,638,419,624,"15,863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017189,Aruba,,533,B,687,862,"1,001","1,196","2,251","3,358","3,940","4,026","3,904","3,781","3,472","2,773","1,963","1,333",842,967,"36,356",330,438,488,600,"1,124","1,542","1,842","1,831","1,662","1,538","1,478","1,196",812,567,382,363,"16,193",357,424,513,596,"1,127","1,816","2,098","2,195","2,242","2,243","1,994","1,577","1,151",766,460,604,"20,163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017190,Bahamas,,44,B,"2,279","2,356","2,112","1,958","2,764","5,173","7,441","8,008","7,445","6,365","4,548","3,266","2,578","2,060","1,640","1,813","61,806","1,249","1,201","1,003",970,"1,310","2,301","3,740","4,063","3,857","3,354","2,349","1,720","1,282","1,048",858,954,"31,259","1,030","1,155","1,109",988,"1,454","2,872","3,701","3,945","3,588","3,011","2,199","1,546","1,296","1,012",782,859,"30,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017191,Barbados,,52,B,"1,345","1,325","1,414","1,879","2,695","3,302","3,428","3,303","3,124","2,931","2,581","2,170","1,691","1,300",976,"1,196","34,660",724,706,666,924,"1,314","1,534","1,584","1,506","1,366","1,227","1,080",907,691,516,397,430,"15,572",621,619,748,955,"1,381","1,768","1,844","1,797","1,758","1,704","1,501","1,263","1,000",784,579,766,"19,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017192,British Virgin Islands,,92,B,561,665,739,998,"1,597","2,121","2,170","2,113","1,939","1,777","1,541","1,236",912,645,446,499,"19,959",273,317,340,488,745,"1,030","1,077","1,071",963,803,802,587,510,341,235,256,"9,838",288,348,399,510,852,"1,091","1,093","1,042",976,974,739,649,402,304,211,243,"10,121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017193,Caribbean Netherlands,22,535,B,234,336,538,804,"1,134","1,294","1,249","1,097","1,158","1,273","1,156",952,740,581,445,517,"13,508",131,193,293,444,612,653,592,528,548,585,497,414,339,276,202,230,"6,537",103,143,245,360,522,641,657,569,610,688,659,538,401,305,243,287,"6,971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017194,Cayman Islands,,136,C,653,760,932,"1,237","1,843","2,464","2,667","2,591","2,425","2,267","1,889","1,454","1,098",812,575,688,"24,355",326,364,532,696,699,"1,158","1,417","1,332","1,415","1,173",909,720,664,433,291,336,"12,465",327,396,400,541,"1,144","1,306","1,250","1,259","1,010","1,094",980,734,434,379,284,352,"11,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017195,Cuba,,192,B,232,292,337,499,743,"1,029","1,273","1,287","1,133","1,022",958,871,723,621,573,"1,543","13,136",132,157,189,276,368,512,568,494,398,369,369,337,339,329,283,741,"5,861",100,135,148,223,375,517,705,793,735,653,589,534,384,292,290,802,"7,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017196,Curaçao,,531,B,756,"1,364","1,851","2,201","2,965","3,477","3,284","3,181","3,304","3,390","3,123","2,592","2,035","1,634","1,228","2,011","38,396",375,700,892,"1,080","1,336","1,516","1,315","1,303","1,321","1,303","1,095",923,779,655,465,732,"15,790",381,664,959,"1,121","1,629","1,961","1,969","1,878","1,983","2,087","2,028","1,669","1,256",979,763,"1,279","22,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017197,Dominica,,212,B,697,658,671,662,659,633,559,463,376,304,249,205,175,158,144,169,"6,782",346,339,355,346,345,343,298,245,199,166,138,116,97,86,77,65,"3,561",351,319,316,316,314,290,261,218,177,138,111,89,78,72,67,104,"3,221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017198,Dominican Republic,,214,B,"18,070","18,080","20,199","30,680","55,822","71,593","61,176","42,608","29,922","21,496","15,979","11,616","8,997","6,948","5,041","6,737","424,964","9,187","9,132","10,099","16,604","33,166","44,210","39,249","27,007","18,743","13,414","10,267","7,470","6,066","4,878","3,613","4,483","257,588","8,883","8,948","10,100","14,076","22,656","27,383","21,927","15,601","11,179","8,082","5,712","4,146","2,931","2,070","1,428","2,254","167,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017199,Grenada,,308,B,624,479,397,413,532,694,776,667,520,442,388,330,259,208,157,238,"7,124",330,244,214,213,286,345,322,316,246,208,208,162,147,110,84,101,"3,536",294,235,183,200,246,349,454,351,274,234,180,168,112,98,73,137,"3,588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017200,Guadeloupe,23,312,B,"3,423","6,908","8,266","8,904","7,882","9,336","10,551","10,450","9,168","7,595","5,866","3,874","2,992","1,750","1,101","1,284","99,350","1,651","3,377","4,088","4,315","3,601","3,944","4,211","4,129","3,716","3,198","2,561","1,739","1,497",907,617,683,"44,234","1,772","3,531","4,178","4,589","4,281","5,392","6,340","6,321","5,452","4,397","3,305","2,135","1,495",843,484,601,"55,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017201,Haiti,,332,B,"3,330","2,609","2,087","2,062","2,749","3,486","3,694","3,599","3,457","3,255","2,819","2,297","1,789","1,358",972,970,"40,533","2,075","1,554","1,177","1,065","1,370","1,754","1,956","2,147","2,191","2,026","1,698","1,352","1,053",800,572,563,"23,353","1,255","1,055",910,997,"1,379","1,732","1,738","1,452","1,266","1,229","1,121",945,736,558,400,407,"17,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017202,Jamaica,,388,B,"2,162","1,789","1,541","1,591","1,830","1,854","1,727","1,667","1,680","1,673","1,492","1,121",873,693,525,"1,114","23,332","1,120",931,840,821,953,"1,026",895,834,883,831,709,546,433,345,239,444,"11,850","1,042",858,701,770,877,828,832,833,797,842,783,575,440,348,286,670,"11,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017203,Martinique,,474,B,"2,207","3,065","4,461","5,439","4,950","5,370","6,031","6,273","5,679","4,935","4,045","3,168","2,320","1,552","1,156",928,"61,579","1,086","1,492","2,114","2,485","2,164","2,257","2,478","2,572","2,359","2,092","1,753","1,398","1,055",727,508,383,"26,923","1,121","1,573","2,347","2,954","2,786","3,113","3,553","3,701","3,320","2,843","2,292","1,770","1,265",825,648,545,"34,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
